sample_id,anc_label,n_sites,prop_sites,tool
HG01565,EAS,5000,1.0,gnomix
HG01572,EAS,4131,0.8262,gnomix
HG01572,EUR,869,0.1738,gnomix
HG01577,EAS,2686,0.5372,gnomix
HG01577,EUR,2314,0.4628,gnomix
HG01578,EAS,4661,0.9322,gnomix
HG01578,EUR,339,0.0678,gnomix
HG01892,AFR,632,0.1264,gnomix
HG01892,EUR,4368,0.8736,gnomix
HG01893,EAS,3476,0.6952,gnomix
HG01893,EUR,1524,0.3048,gnomix
HG01917,EAS,5000,1.0,gnomix
HG01918,EUR,5000,1.0,gnomix
HG01920,EAS,4266,0.8532,gnomix
HG01920,EUR,734,0.1468,gnomix
HG01921,EAS,5000,1.0,gnomix
HG01923,EAS,5000,1.0,gnomix
HG01924,EAS,4289,0.8578,gnomix
HG01924,EUR,711,0.1422,gnomix
HG01932,EAS,1761,0.3522,gnomix
HG01932,EUR,3239,0.6478,gnomix
HG01933,EAS,3341,0.6682,gnomix
HG01933,EUR,1659,0.3318,gnomix
HG01935,EAS,2686,0.5372,gnomix
HG01935,EUR,2314,0.4628,gnomix
HG01936,EAS,4684,0.9368,gnomix
HG01936,EUR,316,0.0632,gnomix
HG01941,EAS,5000,1.0,gnomix
HG01945,AFR,79,0.0158,gnomix
HG01945,EAS,2449,0.4898,gnomix
HG01945,EUR,2472,0.4944,gnomix
HG01950,EAS,5000,1.0,gnomix
HG01953,EAS,4898,0.9796,gnomix
HG01953,EUR,102,0.0204,gnomix
HG01954,EAS,5000,1.0,gnomix
HG01965,AFR,1343,0.2686,gnomix
HG01965,EAS,3657,0.7314,gnomix
HG01967,EAS,1659,0.3318,gnomix
HG01967,EUR,3341,0.6682,gnomix
HG01968,EAS,5000,1.0,gnomix
HG01970,EUR,5000,1.0,gnomix
HG01973,EAS,5000,1.0,gnomix
HG01974,EAS,4740,0.948,gnomix
HG01974,EUR,260,0.052,gnomix
HG01976,EAS,5000,1.0,gnomix
HG01979,EAS,1761,0.3522,gnomix
HG01979,EUR,3239,0.6478,gnomix
HG01982,AFR,23,0.0046,gnomix
HG01982,EAS,3871,0.7742,gnomix
HG01982,EUR,1106,0.2212,gnomix
HG01991,EAS,1501,0.3002,gnomix
HG01991,EUR,3499,0.6998,gnomix
HG01997,EAS,3239,0.6478,gnomix
HG01997,EUR,1761,0.3522,gnomix
HG02003,EAS,5000,1.0,gnomix
